index,id_,university_name,abbreviation,website,wikipedia,university_type,ranking_us_news_2023,graduation_year,location,graduation_rate,domestic_student_tuition,international_student_tuition,ranking_qs_news_2024,ranking_times_rank_2024,description,ranking_arwu_rank_2023,important_calendar,statistics,faculty,popular_programs,programs,others,characteristics
Dartmouth College,587,Dartmouth College,DC,https://www.dartmouth.edu,https://en.wikipedia.org/wiki/Dartmouth_College,private college,#18 in National Universities,4,"Hanover, New Hampshire, United States",92%,"CAD $63,684","$66,123",=237,=161,"Dartmouth College, located in Hanover, New Hampshire, USA, is a private Ivy League research university established in 1769. It is known for its strong emphasis on undergraduate education but also offers graduate programs in various fields. Dartmouth is a member of the Ivy League and is noted for its strong commitment to arts and sciences, as well as its professional schools of business, engineering, and medicine. The college fosters a tight-knit campus community with a wide range of student-led organizations and activities.",301-400,https://www.dartmouth.edu/reg/calendar/academic/index.html,"Undergraduate Programs: 57
Master's Programs: 19
PhD Programs: 19","Arts and Sciences, Faculty of
Engineering, Thayer School of
Medicine, Geisel School of
Business, Tuck School of
Graduate and Advanced Studies","Social Sciences
Computer and Information Sciences and Support Services
Engineering
Mathematics and Statistics
Biological and Biomedical Sciences","African and African American Studies
Anthropology
Art History
Asian Societies, Cultures, and Languages
Astronomy
Biochemistry and Molecular Biology
Biological Sciences
Biomedical Engineering Sciences
Chemistry
Classical Archaeology
Classical Languages and Literature
Classical Studies
Cognitive Science
Comparative Literature
Computer Science
Earth Sciences
Economics
Engineering Sciences
English
Environmental Studies
Film and Media Studies
French and Italian
Geography
German Studies
Government
History
Human-Centered Design
Jewish Studies
Latin American, Latino, and Caribbean Studies
Linguistics
Mathematics
Medieval and Renaissance Studies
Middle Eastern Studies
Music
Native American and Indigenous Studies
Neuroscience
Philosophy
Physics
Psychological and Brain Sciences
Quantitative Social Science
Religion
Russian
Sociology
Spanish and Portuguese
Studio Art
Theater
Women's, Gender, and Sexuality Studies",,"Dartmouth College is characterized by a strong commitment to teaching and scholarship, a diverse and inclusive community, and a supportive environment that fosters academic and personal growth. Here are some key characteristics:

Commitment to Teaching Excellence: Dartmouth faculty are passionate about teaching and are leaders in their respective fields, contributing significantly to the academic experience.

Emphasis on Diversity and Inclusion: The college actively embraces diversity, understanding its crucial role in enhancing the educational experience. Dartmouth is committed to recruiting and admitting students from all backgrounds, regardless of financial means.

Supportive Academic Environment: Dartmouth provides a nurturing environment that supports the academic and personal development of its students, preparing them for future challenges and opportunities."
Davenport University,588,Davenport University,DU,https://www.davenport.edu,https://en.wikipedia.org/wiki/Davenport_University,private college,#133 in Regional Universities Midwest,4,"Grand Rapids, Michigan, United States
Lansing, Michigan, United States
Midland, Michigan, United States
Warren, Michigan, United States
Holland, Michigan, United States
Kalamazoo, Michigan, United States
Detroit, Michigan, United States",49%,"CAD $41,600","CAD $37,038 - $51,448",,,"Davenport University, located in Michigan, United States, is a private, non-profit university known for its business, technology, and health programs. It offers associate's, bachelor's, master's, and diploma programs across several campuses and online. Davenport emphasizes practical, career-oriented education that prepares students for the job market.",,https://www.davenport.edu/academics/calendar,,"Davenport University offers various faculties and programs including the College of Health Professions, College of Technology, Donald W. Maine College of Business, and the College of Arts and Sciences.","Education Program
Sauder Business School
Engineering Program","Psychiatric Nurse Practitioner Postgraduate Certificate  
Urban Education Graduate Certificate  
Urban Educational Leadership Graduate Certificate  
Veterans Bachelor of Science in Nursing  
Health and Human Service Case Management  
Health and Human Service Case Management (Completion Program - for Licensed Practical Nurses)  
Health Informatics and Information Management, MS  
Family Nurse Practitioner Concentration, MSN  
Nurse Educator Concentration, MSN  
Nursing, MSN  
Psychiatric Mental Health Nurse Practitioner Concentration, MSN",,"Davenport University offers a flexible and diverse educational environment, accommodating various learning styles and schedules. It is recognized as one of the best online colleges in Michigan, providing over 50 Online+ degree programs through its Global Campus. The university supports a variety of course formats, including on-demand classes and flex classrooms, catering to different student needs.

The institution upholds a set of core values encapsulated in the acronym STAIR, which guides the behavior of faculty, staff, and students. These values emphasize serving with quality, understanding students, and nurturing their capabilities to ensure they start, stay, and succeed in their educational pursuits.

Davenport University is a private, non-profit university based in Michigan with multiple campuses across the state and a significant online presence. It is known for its affordability, offering one of the lowest tuition rates among private colleges in the region. The university is accredited by the Higher Learning Commission and holds additional accreditations for specific programs, ensuring a high standard of education.

The university fosters a vibrant campus life with over 40 student organizations, 45+ athletic teams, and various campus traditions. It is also recognized for its safety, being rated the #1 safest campus in Michigan in 2021."
Davidson College,589,Davidson College,DC,https://www.davidson.edu,https://en.wikipedia.org/wiki/Davidson_College,private college,#16 in National Liberal Arts Colleges,4,"Davidson, North Carolina, United States",90%,"CAD $69,590","$69,590",,,"Davidson College is a private liberal arts college located in Davidson, North Carolina, USA. Established in 1837 by the Concord Presbytery and named after Revolutionary War general William Lee Davidson, the college enrolls approximately 1,973 students from across the United States and 46 countries. Davidson College is known for its rigorous academics and has produced 23 Rhodes Scholars. It is a member of the Atlantic 10 Conference and competes in NCAA Division I sports. The campus also features a nationally designated arboretum, reflecting its commitment to environmental sustainability.",,https://www.davidson.edu/offices-and-services/registrar/academic-calendars,,"Music, Department of
Mathematics and Computer Science, Department of
English, Department of
Chemistry, Department of
Philosophy, Department of
Biology, Department of
Psychology, Department of
History, Department of
Gender and Sexuality Studies, Department of","Education Program
Sauder Business School
Engineering Program",Chemistry Major\nPsychology\nMilitary Science (ROTC)\nEngineering\nInterdisciplinary Studies: student-designed majors and center-established majors,,"Davidson College is recognized for its strong emphasis on student achievements across various domains including academics, athletics, and the arts. This is evident from its annual Spring Convocation which celebrates these successes. Additionally, Davidson maintains a significant partnership with the Catawba Nation, highlighting its commitment to community engagement and cultural preservation. The college also boasts a notable commitment to financial aid through The Davidson Trust, which eliminates loans for students, ensuring a more accessible education. Furthermore, Davidson's rigorous academic environment is complemented by a vibrant campus life that includes a tradition of living on campus and engaging with a close-knit community. Davidson's approach to education is holistic, aiming to shape students who are not only academically accomplished but also socially responsible and ready to impact the world positively."
Davis and Elkins College,590,Davis and Elkins College,D&E,https://www.dewv.edu/,https://en.wikipedia.org/wiki/Davis_%26_Elkins_College,private college,#23 in Regional Colleges South,4,"Elkins, West Virginia, United States",43%,"CAD $30,840","$30,360",,,"Davis & Elkins College, located in Elkins, West Virginia, is a private liberal arts college affiliated with the Presbyterian Church (USA). The college offers a variety of undergraduate programs and emphasizes a liberal arts education. Davis & Elkins College is known for its commitment to experiential learning and community engagement, providing students with opportunities to apply their learning in real-world settings.",,https://www.dewv.edu/calendar/,"Undergraduate Programs: 30
Master's Programs: 0
PhD Programs: 0","Applied Science, Faculty of
Architecture and Landscape Architecture, School of
Arts, Faculty of
Audiology and Speech Sciences, School of
Business, Sauder School of
Community and Regional Planning, School of
Dentistry, Faculty of
Education, Faculty of
Extended Learning
Forestry, Faculty of
Graduate and Postdoctoral Studies
Journalism, School of
Kinesiology, School of
Land and Food Systems, Faculty of
Law, Peter A. Allard School of
Library, Archival and Information Studies, School of
Medicine, Faculty of
Music, School of
Nursing, School of
Pharmaceutical Sciences, Faculty of
Population and Public Health, School of
Public Policy and Global Affairs, School of
Science, Faculty of
Social Work, School of
UBC Vantage College
Vancouver School of Economics","Education Program
Sauder Business School
Engineering Program","Accounting
Biology
Chemistry
Computer Science
Criminology
Cybersecurity
Elementary Education
Environmental Science
Exercise Science
Finance
Hospitality and Tourism Management
Management
Marketing
Mathematics
Medical Laboratory Science
Nursing
Outdoor Recreation Management
Political Science
Psychology
Sport Management
Theatre
Interdisciplinary Studies
International Studies
Religious Studies and Philosophy",,"Davis & Elkins College is a private, liberal arts and professional studies institution that values curiosity, thoughtfulness, and the holistic development of students. Here are some key characteristics:

Close-knit Community: The college fosters a supportive and friendly environment where students can form lifelong friendships and engage deeply with the campus community.

Diverse Programs and Activities: Students at Davis & Elkins College can choose from over 30 campus clubs and organizations that cater to a wide range of interests including music, dance, sustainability, and Greek life. The college also encourages students to start their own clubs if they find a gap in the existing offerings.

Rich Historical Background: Founded in 1904 through the efforts of U.S. senators Henry Gassaway Davis and Stephen Benton Elkins, the college has a rich history intertwined with the development of the local community and industry.

Beautiful Location: Nestled in the West Virginia mountains, the campus offers a picturesque setting that is conducive to both academic pursuits and outdoor activities, making it an ideal place for nature lovers and those who appreciate the arts.

Commitment to Well-being: Davis & Elkins promotes the social, emotional, spiritual, and physical well-being of its students, ensuring a holistic educational experience.

Accredited and Recognized: As an NCAA Division II school, it offers competitive athletic programs and is recognized for its educational quality, being ranked among the best colleges in the south."
Davis College,591,Davis College,DC,https://www.daviscollege.edu,https://en.wikipedia.org/wiki/Davis_College_(New_York),private college,Unranked in Faith-related Schools,4,"Johnson City, New York, United States",89%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,,"Davis College, located in Johnson City, New York, is a private Bible college that focuses on Christian higher education. The college offers various undergraduate degrees with a strong emphasis on theological studies, pastoral studies, and Christian education. It is known for its commitment to biblical authority and its mission to prepare students for Christian ministry and leadership roles in their communities.",,https://www.davisny.edu/academics/academic-calendar/,"Undergraduate Programs: 6
Master's Programs: 1
PhD Programs: 0","Applied Science, Faculty of
Architecture and Landscape Architecture, School of
Arts, Faculty of
Audiology and Speech Sciences, School of
Business, Sauder School of
Community and Regional Planning, School of
Dentistry, Faculty of
Education, Faculty of
Extended Learning
Forestry, Faculty of
Graduate and Postdoctoral Studies
Journalism, School of
Kinesiology, School of
Land and Food Systems, Faculty of
Law, Peter A. Allard School of
Library, Archival and Information Studies, School of
Medicine, Faculty of
Music, School of
Nursing, School of
Pharmaceutical Sciences, Faculty of
Population and Public Health, School of
Public Policy and Global Affairs, School of
Science, Faculty of
Social Work, School of
UBC Vantage College
Vancouver School of Economics","Education Program
Sauder Business School
Engineering Program","Applied Business
Applied Science
Intensive Language Learning Program (ESL)",,"Davis College is a private, two-year institution of higher education that offers a focused and supportive learning environment. Here are some key characteristics:

Small Student/Teacher Ratio: Davis College maintains an average student/teacher ratio of 9:1, ensuring personalized attention and support for each student.

Diverse Academic Programs: The college offers a variety of associate degree and diploma programs in fields such as allied health, business, and design, catering to a range of career aspirations.

Accreditation: Davis College is accredited by The Higher Learning Commission, affirming its commitment to maintaining high educational standards.

Community Engagement: The institution serves the community by providing quality educational programs and services that adapt to changing needs, demonstrating a commitment to the growth and development of its students and the surrounding area."
Daytona State College,592,Daytona State College,DSC,https://www.daytonastate.edu,https://en.wikipedia.org/wiki/Daytona_State_College,private college,Unranked in Regional Colleges South,4,"Daytona Beach, Florida, United States
DeLand, Florida, United States
Deltona, Florida, United States
New Smyrna Beach, Florida, United States
Palm Coast, Florida, United States",94%,"CAD $3,077.60 - $3,604.80",,,,"Daytona State College (DSC) is a public college located in Daytona Beach, Florida. It is part of the Florida College System and operates six regional campuses throughout Volusia and Flagler counties. The college offers a wide range of programs including over 100 certificate, associate, and baccalaureate degree programs in various fields such as healthcare, emergency services, business, education, and hospitality. Additionally, Daytona State College owns WDSC-TV, an independent non-commercial educational television station.",,https://www.daytonastate.edu/academic-calendar/academic-calendar-current.html,"Undergraduate Programs: 99
Master's and PhD Programs: 84","Applied Science, Faculty of
Architecture and Landscape Architecture, School of
Arts, Faculty of
Audiology and Speech Sciences, School of
Business, Sauder School of
Community and Regional Planning, School of
Dentistry, Faculty of
Education, Faculty of
Extended Learning
Forestry, Faculty of
Graduate and Postdoctoral Studies
Journalism, School of
Kinesiology, School of
Land and Food Systems, Faculty of
Law, Peter A. Allard School of
Library, Archival and Information Studies, School of
Medicine, Faculty of
Music, School of
Nursing, School of
Pharmaceutical Sciences, Faculty of
Population and Public Health, School of
Public Policy and Global Affairs, School of
Science, Faculty of
Social Work, School of
UBC Vantage College
Vancouver School of Economics","Nursing Program
Electrical Engineering Program
Online Bachelor's Programs","Cybersecurity
Engineering
Hospitality & Culinary Management
Business Management
Healthcare
Bachelor of Science in Nursing
Accounting
Education
Information Technology
Engineering Technology
Performing Arts
Languages
Liberal Arts
Math
Psychology
Business Administration
Public Administration
Social Work
Engineering Pre-Professional Programs (Architecture, Medicine, Pharmacy, Dentistry, Law)",,"Daytona State College is recognized for its commitment to serving a diverse student body and meeting regional educational needs. Here are some key characteristics:

Accredited Programs: The college's Automotive Service Technology program is accredited by the Automotive Service Excellence Education Foundation, ensuring high standards in automotive education.

Military Friendly: Daytona State College has been named a 2024 Gold-Level Military Friendly School, highlighting its dedication to supporting military students and their families.

Innovative Broadcasting: The college's own WDSC-TV 15 airs unique programming, such as a new Bob Ross painting show, showcasing its involvement in creative and cultural broadcasting.

Expansive Educational Offerings: Offering more than 100 certificate, associate, and bachelor's degree programs, Daytona State responds to the educational and workforce training needs of its community effectively.

Affordable Education: It is ranked among the Most Affordable Online Colleges, making higher education accessible to a broader audience.

Continuous Improvement: The college emphasizes academic excellence, professionalism, and quality across all programs, employing a system of continuous improvement based on assessment and community engagement."
Dean College,593,Dean College,DC,https://www.dean.edu,https://en.wikipedia.org/wiki/Dean_College,private college,#29 in Regional Colleges North,4,"Franklin, Massachusetts, United States",89%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,,"Dean College is a private college located in Franklin, Massachusetts. It offers associate and bachelor's degrees in arts and sciences. Dean College is known for its supportive atmosphere and focus on student success, providing personalized attention and a range of academic and extracurricular programs to help students achieve their educational and career goals.",,https://www.dean.edu/academics/academic-resources/academic-calendar/,,"School of Liberal Arts
Joan Phelps Palladino School of Dance
School of the Arts
School of Business","Education Program
Sauder Business School
Engineering Program","Arts
Business
Education
Health Professions
Humanities
Protective Services
Science, Technology, and Math",,"Dean College is a private college located in Franklin, Massachusetts. Known for its personalized learning and strong sense of community, Dean provides a supportive environment that is conducive to student success. Here are some key characteristics:

Focus on Student Success: Dean College emphasizes personalized attention and support for its students, offering programs like the Arch Learning Community which is designed to assist students with learning disabilities and other challenges.

Associate and Bachelor's Degrees: The college offers a variety of associate and bachelor's degree programs, allowing students to pursue studies in areas such as dance, business, liberal arts, and sports management.

Athletics and Extracurricular Activities: Dean College is also known for its active campus life, with numerous sports teams and student organizations that encourage participation and personal growth.

Historic Campus: The college features a historic campus that blends traditional architecture with modern facilities, providing a unique and enriching environment for its students."
Defiance College,594,Defiance College,DC,https://www.defiance.edu,https://en.wikipedia.org/wiki/Defiance_College,private college,#50 in Regional Colleges Midwest,4,"Defiance, Ohio, United States",39%,"CAD $28,500","$28,500 per year",,,"Defiance College, located in Defiance, Ohio, is a private liberal arts college affiliated with the United Church of Christ. It emphasizes experiential learning and is known for its programs in service and engagement. The college offers a range of undergraduate degrees across various disciplines and maintains a commitment to building leadership and service skills in its students.",,https://defiance.edu/registrar/academic-calendar-catalog-schedule-of-classes.html,"Undergraduate Programs: 40
Master's Programs: 2
PhD Programs: 0","Applied Science, Faculty of
Architecture and Landscape Architecture, School of
Arts, Faculty of
Audiology and Speech Sciences, School of
Business, Sauder School of
Community and Regional Planning, School of
Dentistry, Faculty of
Education, Faculty of
Extended Learning
Forestry, Faculty of
Graduate and Postdoctoral Studies
Journalism, School of
Kinesiology, School of
Land and Food Systems, Faculty of
Law, Peter A. Allard School of
Library, Archival and Information Studies, School of
Medicine, Faculty of
Music, School of
Nursing, School of
Pharmaceutical Sciences, Faculty of
Population and Public Health, School of
Public Policy and Global Affairs, School of
Science, Faculty of
Social Work, School of
UBC Vantage College
Vancouver School of Economics","Education Program
Sauder Business School
Engineering Program","Pre-medicine
Pre-dentistry
Pre-optometry
Pre-veterinary science
Pre-law
Pre-ministry
Exercise Science
Computer Science
Nursing",,"Defiance College is an independent, liberal arts-based institution located in Northwest Ohio. It offers a supportive and collaborative learning environment where students are encouraged to lead lives of distinction through a real-world education. The college provides more than 40 undergraduate programs of study as well as graduate programs in education and business. Defiance College emphasizes a hands-on approach to learning, where students are not only taught to memorize facts but also to analyze, synthesize, and evaluate information to expand their knowledge of both the past and present. The institution also boasts a high placement rate for its graduates, indicating a strong commitment to student success in professional fields."
Delaware State University,595,Delaware State University,DSU,https://www.desu.edu,https://en.wikipedia.org/wiki/Delaware_State_University,private college,#111 in Regional Universities North,4,"Dover, Delaware, United States
Wilmington, Delaware, United States
Georgetown, Delaware, United States",89%,"CAD $6,128 - $7,946","CAD $37,038 - $51,448",,,"Delaware State University (DSU), located in Dover, Delaware, is a public historically black university. It was founded in 1891 as the State College for Colored Students and has since evolved into a vibrant institution offering a wide range of undergraduate, graduate, and doctoral programs. DSU is known for its strong emphasis on research, community engagement, and public service. The university is a member of the Mid-Eastern Athletic Conference and competes in NCAA Division I sports.",,https://www.desu.edu/academics/academic-calendar,"Undergraduate Programs: 42
Master's Programs: 16
PhD Programs: 5","Agriculture and Related Sciences, College of
Arts, Humanities and Social Sciences, College of
Business, College of
Education, Health and Public Policy, College of
Mathematics, Natural Sciences and Technology, College of","Education Program
Sauder Business School
Engineering Program","Accounting (BS)
Adult Basic Education (MEd)
Adult Education (MEd)
Agriculture (BS)
Animal Science (BS)
Applied Chemistry (BS)
Applied Mathematics (BS)
Applied Optics (BS)
Art Education (BS)
Aviation (BS)
Biological Sciences (BS)
Biology Education (BS)
Business Administration (MBA)
Chemistry (BS)
Chemistry Education (BS)
Child Development (BS)
Clinical Psychology (PsyD)
Computer Science (BS)
Counseling (MEd)
Criminal Justice (BS)
Early Childhood Education (BS)
Educational Leadership (EdD)
Elementary Education (BS)
Engineering Physics (BS)
English (BA)
English Education (BS)
Entrepreneurship (BS)
Environmental Science (BS)
Exercise Science (BS)
Finance (BS)
Food and Nutritional Sciences (BS)
Forensic Biology (BS)
Forensic Chemistry (BS)
Forensic Science (BS)
Health Promotion (BS)
Health Services Administration (BS)
History (BA)
History Education (BS)
Hospitality and Tourism Management (BS)
Information Technology (BS)
Integrated Studies (BS)
Interdisciplinary Applied Mathematics and Mathematical Physics (BS)
Kinesiology (BS)
Law Studies (BS)
Management (BS)
Marketing (BS)
Mass Communications (BA)
Mathematics (BS)
Mathematics Education (BS)
Middle Level Education (BS)
Molecular and Cellular Neuroscience (BS)
Music (BA)
Music Education (BS)
Natural Resources (BS)
Nursing (BSN)
Physics (BS)
Physics Education (BS)
Political Science (BA)
Psychology (BA)
Public Administration (MPA)
Public Health (BS)
Social Work (BSW)
Sociology (BA)
Sport Administration (BS)
Sport Management (BS)
Studio Art (BA)
Theatre Arts (BA)
Wildlife Management (BS)",,"Delaware State University (DSU) is recognized for its rich heritage and commitment to education, particularly for students from diverse backgrounds. Here are some key characteristics:

Historical Significance: Founded in 1891 as the State College for Colored Students, DSU is one of America's historically black colleges and universities (HBCUs). This designation highlights its longstanding role in advancing educational opportunities for African American students.

Academic Excellence: DSU offers a wide range of undergraduate, graduate, and doctoral programs. It is particularly noted for its strong programs in agriculture, natural resources, and the sciences, reflecting its origins as a land-grant institution.

Research Initiatives: The university is involved in significant research activities, particularly in areas like agriculture, applied optics, and neuroscience. DSU's research endeavors are supported by facilities such as the Optical Science Center for Applied Research (OSCAR).

Community Engagement: DSU extends its mission beyond campus boundaries through active community service and outreach programs. These initiatives demonstrate the university's commitment to social responsibility and community development.

Campus Life: The university fosters a vibrant campus life with numerous student organizations, Greek life, and athletic programs. DSU's participation in NCAA Division I athletics, as part of the Mid-Eastern Athletic Conference, adds to its dynamic campus environment."
Delaware Technical Community College--Terry,596,Delaware Technical Community College--Terry,DTCC Terry,https://www.dtcc.edu/campus-location/terry,https://en.wikipedia.org/wiki/Delaware_Technical_Community_College,private college,Unranked in Regional Colleges North,2,"Dover, Delaware, United States
Georgetown, Delaware, United States
Stanton, Delaware, United States
Wilmington, Delaware, United States",89%,"CAD $2,287.50 / CAD $2,287.50 - $2,287.50","CAD $37,038 - $51,448",,,"Delaware Technical Community College--Terry Campus, located in Dover, Delaware, is one of the four campuses of Delaware Technical Community College. It offers a wide range of associate degrees, diploma programs, and certificate programs designed to prepare students for direct entry into the workforce or transfer to a four-year university. The campus features modern facilities and provides various student services including academic advising, career services, and tutoring.",,https://www.dtcc.edu/media/dtcc-website/content-assets/documents/academic-calendar-important-dates.pdf,"Undergraduate Programs: 99
Master's and PhD Programs: 0","Applied Science, Faculty of
Architecture and Landscape Architecture, School of
Arts, Faculty of
Audiology and Speech Sciences, School of
Business, Sauder School of
Community and Regional Planning, School of
Dentistry, Faculty of
Education, Faculty of
Extended Learning
Forestry, Faculty of
Graduate and Postdoctoral Studies
Journalism, School of
Kinesiology, School of
Land and Food Systems, Faculty of
Law, Peter A. Allard School of
Library, Archival and Information Studies, School of
Medicine, Faculty of
Music, School of
Nursing, School of
Pharmaceutical Sciences, Faculty of
Population and Public Health, School of
Public Policy and Global Affairs, School of
Science, Faculty of
Social Work, School of
UBC Vantage College
Vancouver School of Economics","Education Program
Sauder Business School
Engineering Program","Accounting, Administrative Assistant, Agriculture, Architectural Engineering Technology, Automotive Technology, Aviation Maintenance Technology, Building Automation Systems, Business Administration, Cardiovascular Sonography, Chemical Process Operator, Civil Engineering Technology, Computer Engineering Technology, Computer Information Systems, Computer Network Engineering Technology, Construction Management, Criminal Justice, Culinary Arts, Dental Hygiene, Diagnostic Medical Sonography, Early Childhood Education, Education, Electrical Engineering Technology, Electromechanical Engineering Technology, Electronics Engineering Technology, Elementary Education, Energy Management, Environmental Engineering Technology, Exercise Science, General Studies, Health Information Management, Heating, Ventilation, Air Conditioning and Refrigeration, Hospitality Management, Human Services, Information Security, Legal Studies, Machine Tool, Manufacturing Engineering Technology, Marketing, Mathematics, Mechanical Engineering Technology, Medical Laboratory Technician, Nursing, Occupational Therapy Assistant, Office Administration, Operations Management, Opticianry, Paralegal, Paramedic, Pharmacy Technician, Physical Therapist Assistant, Radiologic Technology, Renewable Energy Solar, Respiratory Care, Science, Surgical Technology, Veterinary Technology, Visual Communications",,"Delaware Technical Community College is committed to equal opportunity and non-discrimination in all aspects of employment and education. The college does not discriminate based on race, color, creed, religion, sex, national origin, age, disability, genetic information, marital status, veteran status, sexual orientation, gender orientation, gender identity, or pregnancy, or any other classifications protected by federal, state, and local law.

The Terry Campus of Delaware Technical Community College, named after the late Governor Charles L. Terry, is located in the northern part of Dover, Delaware. It serves the residents of Kent County and the surrounding rural area, which spans 800 square miles and had a population of 160,058 in 2010.

Delaware Technical Community College has been recognized as a 2024 Leader College of Distinction by Achieving the Dream (ATD) for its efforts in promoting and sustaining student success. This designation highlights the college's commitment to educational excellence and reform.

The college also addresses issues of sexual misconduct and discrimination through its Title IX/Civil Rights Coordinator, ensuring a safe and inclusive environment for all students and staff."
Delaware Valley University,597,Delaware Valley University,DVU,https://www.delval.edu,https://en.wikipedia.org/wiki/Delaware_Valley_University,private college,#143 in Regional Universities North,4,"Doylestown, Pennsylvania, United States",53%,"CAD $21,070","$21,070",,,"Delaware Valley University, commonly referred to as DelVal, is a private university located in Doylestown, Pennsylvania. It was founded in 1896 and offers a wide range of undergraduate and graduate programs. The university is known for its strong emphasis on experiential learning, which is integrated into all its programs. DelVal is particularly recognized for its programs in the life sciences, agriculture, and environmental sciences, reflecting its origins as an agricultural college.",,https://delval.edu/registrar/academic-calendar,"Undergraduate Programs: 1777
Master's Programs: 9
PhD Programs: 1","Undergraduate Schools:
- School of Agriculture and Environmental Sciences
- School of Business and Humanities
- School of Life and Physical Sciences

School of Graduate and Professional Studies","Chemistry, B.S.
Counseling Psychology, B.A.
Criminal Justice Administration
Management and Organizational Leadership
Small Animal Science, B.S.
Speech-Language Pathology, M.S.","Zoo Science
Agriculture
Environmental Sciences
Business Administration
Education
Healthcare
Criminal Justice
Counseling Psychology
Agribusiness",,"Delaware Valley University, located in Doylestown, Pennsylvania, is a private institution that offers a blend of liberal arts and professional studies. Here are some key characteristics:
Multidisciplinary Programs: DelVal provides a variety of programs across the sciences, business, and humanities, with more than 28 undergraduate majors, over nine master's programs, and a doctoral program.
Hands-on Learning: The university emphasizes ""science with practice,"" ensuring students gain practical experience in their fields of study, which is embedded in the curriculum.
Campus Size and Locations: The university spans over 1,100 acres across three locations, providing ample space for educational and extracurricular activities.
Student Demographics and Life: The student body comprises about 60% female and 40% male students, with 67% of students living on campus, fostering a vibrant community atmosphere.
Financial Support: A significant percentage of students, 97% of new students, receive financial aid, demonstrating DelVal's commitment to making education accessible.
Accreditation: DelVal is accredited by the Middle States Commission on Higher Education, ensuring high standards in higher education are met."
Delta State University,598,Delta State University,DSU,https://www.deltastate.edu,https://en.wikipedia.org/wiki/Delta_State_University,private college,#55 in Regional Universities South,4,"Cleveland, Mississippi, United States",35%,"Attribute: domestic_student_tuition
Output format: CAD $4,218",$500.00,,Reporter,"Delta State University, located in Cleveland, Mississippi, is a public university established in 1924. Originally founded as a teacher's college, it has since expanded into a comprehensive university offering a wide range of undergraduate and graduate programs. The university is known for its strong emphasis on liberal arts education, as well as programs in business, education, and the arts. Delta State also features unique programs like the Delta Music Institute, which focuses on music industry studies.",,https://www.deltastate.edu/academics/calendar/,"Undergraduate Programs: 40
Master's Programs: 26
PhD Programs: 2","College of Arts and Sciences
College of Business
College of Education and Human Sciences
Robert E. Smith School of Nursing
School of Health and Human Performance","Education Program
Sauder Business School
Engineering Program","Bachelor of Science in Interdisciplinary Studies
Bachelor of Science in Health, Physical Education, and Recreation
Bachelor of Science in Nursing
Bachelor of Arts in Psychology
Bachelor of Science in Elementary Education
Business programs
Education programs
Nursing programs
Social Sciences programs",,"Delta State University is characterized by its diverse and comprehensive academic offerings and a significant representation of international students from 50 different countries. The university provides a wide range of undergraduate and graduate programs across various colleges, including the Colleges of Arts and Sciences, Business, and more. It also features specialized programs like an Honors Program for academically gifted students. The institution has a rich history, with its first graduating class in 1928, and it continues to grow, reflecting an increase in enrollment over the years. Delta State University supports a diverse student body, with detailed attention to providing educational opportunities that prepare students for successful futures."
Denison University,599,Denison University,DU,https://denison.edu,https://en.wikipedia.org/wiki/Denison_University,private college,#39 in National Liberal Arts Colleges,4,"Granville, Ohio, United States",85%,"CAD $67,000","$67,000",,,"Denison University, located in Granville, Ohio, is a private liberal arts college founded in 1831. It is one of the earliest colleges established in the old Northwest Territory. Denison is a member of the Five Colleges of Ohio and the Great Lakes Colleges Association. The university offers a curriculum in the arts, sciences, and social sciences, and is known for its programs in Biological Sciences, Communication, Economics, English, and Environmental Studies. Denison emphasizes a liberal arts education, encouraging students to broaden their academic horizons while deepening their understanding in specific areas of study.",,https://denison.edu/academics/calendar,,,"Data Analytics
Queer Studies","Chinese Courses Offered Cinema B.A. Classical Studies B.A.
East Asian Studies
International Studies
Global Commerce
Latin American & Caribbean Studies
Global Health
Middle East North African Studies
Language Programs: Arabic, German, Latin, Chinese, Greek, Portuguese, French.",,"Denison University is committed to a liberal arts education, aiming to develop characteristics such as breadth, depth, independent thinking, and rational, humane self-determination in its students. The curriculum is designed to nurture these traits deliberately."
